date,platform,campaign_name,impressions,clicks,cost,conversions,revenue
2023-08-28,TikTok Ads,Spring Sale,48529,1604,4336.1,97,13813.21
2023-02-20,LinkedIn Ads,Brand Awareness,39590,787,730.71,61,5434.84
2023-03-16,Facebook Ads,Spring Sale,4229,41,44.28,2,295.24
2023-11-15,LinkedIn Ads,Spring Sale,34226,251,662.63,7,640.77
2023-12-05,LinkedIn Ads,Retargeting,7986,205,235.41,8,1022.71
2023-09-07,Facebook Ads,Retargeting,7367,155,378.67,7,913.08
2023-03-01,Facebook Ads,New Product Launch,38218,1310,2972.05,59,7430.44
2023-06-11,LinkedIn Ads,Brand Awareness,35142,452,999.9,36,4149.16
2024-01-01,TikTok Ads,Spring Sale,14802,354,898.25,17,1109.98
2023-04-30,Google Ads,Brand Awareness,27152,205,337.15,12,733.81
2023-01-11,LinkedIn Ads,Brand Awareness,27234,461,1078.66,38,2893.44
2023-11-03,Google Ads,Brand Awareness,35966,1299,1808.12,49,5998.94
2023-09-02,TikTok Ads,New Product Launch,5343,148,275.93,4,240.48
2023-05-13,Google Ads,Brand Awareness,21816,360,300.43,8,614.35
2023-04-01,TikTok Ads,New Product Launch,36444,1307,1798.98,107,5380.96
2023-06-26,LinkedIn Ads,Brand Awareness,35720,1415,1143.27,43,2729.99
2023-01-29,LinkedIn Ads,Retargeting,49811,913,2211.05,59,8366.06
2023-09-26,LinkedIn Ads,Brand Awareness,46960,1625,1728.57,132,13221.91
2023-08-01,Facebook Ads,Brand Awareness,31855,512,1135.3,33,1735.07
2023-08-11,Google Ads,Brand Awareness,8106,43,50.46,1,97.63
2023-10-11,LinkedIn Ads,New Product Launch,15973,581,1307.99,23,2808.85
2023-09-06,Facebook Ads,Retargeting,41011,948,891.19,63,7498.3
2023-04-08,Facebook Ads,Brand Awareness,3941,104,292.93,7,477.04
2023-01-11,TikTok Ads,Spring Sale,10581,393,472.86,32,1659.2
2023-07-24,TikTok Ads,New Product Launch,43342,292,669.32,11,903.17
2023-12-10,TikTok Ads,Brand Awareness,12003,251,642.52,13,1059.67
2023-06-07,Facebook Ads,Spring Sale,18525,189,307.06,16,2379.6
2023-12-25,TikTok Ads,New Product Launch,15721,255,431.34,13,884.45
2023-10-09,LinkedIn Ads,Spring Sale,36906,903,2291.32,36,4690.23
2023-05-27,LinkedIn Ads,Brand Awareness,6255,200,426.7,19,1524.83
2023-11-08,Google Ads,New Product Launch,19346,736,512.91,58,3732.23
2023-02-02,Facebook Ads,New Product Launch,45378,569,454.56,36,2429.2
2023-08-21,Google Ads,Spring Sale,29174,825,2105.03,27,2520.26
2023-11-07,LinkedIn Ads,Spring Sale,27452,900,1815.61,82,9527.28
2023-01-17,TikTok Ads,Retargeting,3272,51,31.25,1,104.18
2023-02-04,Facebook Ads,Retargeting,4487,133,115.03,12,694.11
2023-02-09,TikTok Ads,Retargeting,27068,687,483.75,39,2958.05
2023-03-18,TikTok Ads,New Product Launch,39892,778,461.41,56,6751.55
2023-08-10,LinkedIn Ads,Retargeting,36204,552,979.96,54,4209.63
2023-03-09,Google Ads,Retargeting,26701,968,1352.44,49,4852.43
2023-12-16,Facebook Ads,Brand Awareness,23196,519,898.93,23,2403.0
2023-04-10,Facebook Ads,New Product Launch,41234,1343,3867.49,70,4803.59
2023-08-06,LinkedIn Ads,New Product Launch,19741,694,1837.82,67,3713.51
2023-03-09,Google Ads,New Product Launch,21982,450,1314.59,36,4387.4
2023-12-02,LinkedIn Ads,Retargeting,8563,244,215.84,19,1562.09
2023-02-08,Facebook Ads,Brand Awareness,29074,1091,996.04,102,11331.38
2023-10-15,TikTok Ads,Spring Sale,9344,220,192.61,11,633.6
2023-01-08,TikTok Ads,New Product Launch,43744,1286,2952.64,75,9885.57
2023-06-11,Facebook Ads,Brand Awareness,19336,637,1297.06,58,3202.78
2023-10-22,TikTok Ads,New Product Launch,40751,619,1533.49,20,1097.0
2023-09-08,LinkedIn Ads,Spring Sale,44469,268,301.41,8,459.77
2023-08-09,TikTok Ads,Retargeting,10266,216,295.21,6,471.06
2023-09-04,Facebook Ads,Brand Awareness,20248,230,559.57,7,649.9
2023-11-25,LinkedIn Ads,Brand Awareness,39932,1076,1899.92,103,6311.69
2023-01-09,TikTok Ads,Brand Awareness,22366,334,607.77,25,2638.27
2023-10-25,Facebook Ads,Spring Sale,10590,243,173.19,14,1730.48
2023-10-25,Google Ads,Retargeting,27992,1067,970.62,31,3588.36
2023-06-25,Google Ads,Retargeting,22483,304,570.85,15,982.67
2023-03-23,TikTok Ads,Brand Awareness,48194,766,1771.13,22,2096.74
2023-07-25,TikTok Ads,Brand Awareness,26677,145,383.7,5,744.11
2023-02-04,TikTok Ads,Retargeting,9008,132,160.06,12,1708.54
2024-01-01,Facebook Ads,Retargeting,9983,152,219.8,9,1314.29
2023-07-15,LinkedIn Ads,Brand Awareness,35354,350,218.4,32,1973.38
2023-02-08,TikTok Ads,Brand Awareness,18051,451,433.79,24,3403.37
2023-03-07,TikTok Ads,New Product Launch,38382,717,1145.15,17,1118.4
2023-10-04,Facebook Ads,New Product Launch,31372,980,2236.24,51,3805.38
2023-11-12,LinkedIn Ads,Brand Awareness,10574,55,115.32,1,89.58
2023-01-26,Google Ads,Brand Awareness,18055,584,816.18,26,3330.29
2023-10-28,Google Ads,New Product Launch,4627,87,257.2,3,306.1
2023-08-29,LinkedIn Ads,Spring Sale,28075,271,280.45,22,2289.3
2023-10-25,Facebook Ads,New Product Launch,35102,1325,2648.21,129,9931.67
2023-10-12,Google Ads,Retargeting,31291,857,994.26,36,3805.45
2023-07-25,Google Ads,Brand Awareness,32636,1149,2283.01,27,1839.77
2023-08-25,TikTok Ads,New Product Launch,11752,393,1039.93,11,568.28
2023-10-07,Facebook Ads,Spring Sale,6124,60,163.79,3,385.02
2023-09-17,Facebook Ads,Retargeting,12296,71,63.99,1,94.39
2023-03-17,Facebook Ads,New Product Launch,26359,485,688.01,20,2978.94
2024-01-01,TikTok Ads,Retargeting,49273,863,2060.82,61,8429.12
2023-07-21,Google Ads,Retargeting,27578,796,658.04,35,5216.09
2023-12-19,Google Ads,Spring Sale,9162,249,310.41,15,1956.8
2023-07-18,Google Ads,New Product Launch,45533,1781,1554.91,128,7232.78
2023-06-05,LinkedIn Ads,New Product Launch,48902,1066,741.51,28,1723.55
2023-02-20,TikTok Ads,Brand Awareness,2723,106,236.87,4,527.63
2023-07-05,LinkedIn Ads,New Product Launch,15783,148,122.52,14,844.89
2023-12-22,LinkedIn Ads,Brand Awareness,24387,208,198.12,10,937.41
2023-10-03,TikTok Ads,Retargeting,49949,812,1798.79,53,3781.68
2023-06-20,LinkedIn Ads,Spring Sale,3173,16,13.87,0,0.0
2023-11-21,TikTok Ads,Brand Awareness,9239,351,832.58,25,3629.59
2023-11-30,TikTok Ads,Brand Awareness,21184,544,314.81,11,1379.89
2023-10-13,LinkedIn Ads,Retargeting,3931,116,94.94,2,293.81
2023-06-17,Facebook Ads,Retargeting,11742,276,715.3,9,1289.77
2023-03-08,LinkedIn Ads,Brand Awareness,3682,25,12.99,1,134.73
2023-01-03,Google Ads,Spring Sale,32804,486,1384.04,43,4615.45
2023-08-17,LinkedIn Ads,Retargeting,6088,195,381.15,12,1314.08
2023-11-12,Facebook Ads,Spring Sale,42090,526,1318.62,38,2669.43
2023-09-17,LinkedIn Ads,Spring Sale,21936,482,1383.26,45,5361.85
2023-10-25,LinkedIn Ads,Retargeting,35335,652,1749.01,34,3886.6
2023-06-25,LinkedIn Ads,Brand Awareness,43558,481,809.59,31,4368.87
2023-06-03,Google Ads,New Product Launch,15698,585,1365.48,41,5204.29
2023-03-21,Google Ads,Spring Sale,1078,33,83.08,3,354.27
2023-09-23,TikTok Ads,Brand Awareness,9394,182,103.36,16,1560.54
2023-09-02,Facebook Ads,Spring Sale,36873,962,1119.03,21,2791.17
2023-06-17,LinkedIn Ads,New Product Launch,49741,894,479.83,42,4931.72
2023-12-22,TikTok Ads,Retargeting,48676,1815,4484.26,38,4004.35
2023-04-19,LinkedIn Ads,Spring Sale,40386,604,1058.82,58,7391.43
2023-11-02,TikTok Ads,Brand Awareness,10729,115,282.94,9,1212.01
2023-08-01,LinkedIn Ads,Brand Awareness,3931,105,311.77,7,562.14
2023-07-21,Google Ads,Brand Awareness,11022,191,230.43,13,1869.18
2023-10-10,Google Ads,New Product Launch,22841,318,349.82,27,2568.7
2023-09-17,TikTok Ads,Retargeting,33955,1231,3318.71,55,8121.93
2023-08-27,Google Ads,Retargeting,45258,1063,2991.18,78,7185.98
2023-10-16,Google Ads,New Product Launch,26599,522,791.4,26,1595.23
2023-04-15,TikTok Ads,New Product Launch,1891,26,15.95,2,202.41
2023-03-22,Facebook Ads,Retargeting,5868,180,437.82,13,1866.55
2023-01-10,Facebook Ads,Spring Sale,44251,1282,998.52,93,9767.4
2023-04-01,Facebook Ads,Brand Awareness,41933,581,1143.27,26,2130.14
2023-08-28,Facebook Ads,Spring Sale,37244,991,2833.54,64,6218.27
2023-12-21,TikTok Ads,New Product Launch,5999,149,242.87,3,250.94
2023-07-26,LinkedIn Ads,Spring Sale,33073,589,844.54,17,1748.05
2023-01-06,LinkedIn Ads,Retargeting,47072,1748,3526.98,125,16824.15
2023-07-29,TikTok Ads,New Product Launch,7106,261,215.74,22,1830.7
2023-01-30,TikTok Ads,Brand Awareness,32546,1181,1100.87,60,8918.82
2023-05-08,LinkedIn Ads,Retargeting,32988,484,626.61,12,1393.95
2023-05-02,Google Ads,Spring Sale,32932,267,766.14,13,762.64
2023-08-07,LinkedIn Ads,New Product Launch,49350,1566,1855.67,127,18059.51
2023-09-18,TikTok Ads,Retargeting,18491,677,735.1,58,3955.51
2023-10-22,Facebook Ads,Retargeting,25810,869,1136.89,20,1109.02
2023-05-01,LinkedIn Ads,New Product Launch,25603,733,1198.14,64,5483.89
2023-05-15,LinkedIn Ads,Brand Awareness,21072,325,545.33,13,861.62
2023-07-15,Facebook Ads,Retargeting,3451,135,175.58,6,842.81
2023-04-18,LinkedIn Ads,Brand Awareness,41678,523,663.22,31,2487.25
2023-04-24,TikTok Ads,Retargeting,15644,373,765.77,12,1331.41
2023-03-31,TikTok Ads,Brand Awareness,5294,104,171.27,4,399.61
2023-07-18,Google Ads,Spring Sale,39612,982,868.83,85,10001.83
2023-01-12,TikTok Ads,Spring Sale,14749,146,145.02,4,422.37
2023-09-03,LinkedIn Ads,Spring Sale,32501,1220,2415.87,81,5172.98
2023-01-28,TikTok Ads,Brand Awareness,21288,802,734.35,30,4428.96
2023-06-07,Facebook Ads,Brand Awareness,29289,292,809.54,8,593.36
2023-08-14,LinkedIn Ads,New Product Launch,41716,321,821.19,28,1571.24
2023-05-23,TikTok Ads,Spring Sale,27829,875,1420.26,33,3075.25
2023-11-16,LinkedIn Ads,Brand Awareness,15662,186,256.33,4,292.61
2023-06-08,Google Ads,New Product Launch,48855,523,680.13,10,576.71
2023-11-20,Google Ads,Brand Awareness,46835,248,427.52,10,1038.08
2023-02-23,LinkedIn Ads,Brand Awareness,19711,550,650.46,25,3516.42
2023-03-08,Google Ads,New Product Launch,49319,1611,2091.7,93,9672.93
2023-10-15,LinkedIn Ads,Retargeting,33890,711,1374.35,55,3439.22
2023-05-05,TikTok Ads,Retargeting,49589,1047,850.03,104,6936.95
2023-08-10,Facebook Ads,New Product Launch,42966,490,708.79,10,959.89
2023-12-20,LinkedIn Ads,Retargeting,16928,159,189.98,9,842.13
2023-06-27,LinkedIn Ads,New Product Launch,27202,487,963.65,29,2683.33
2023-08-28,LinkedIn Ads,Retargeting,12187,400,416.25,37,3555.06
2023-10-21,Facebook Ads,Brand Awareness,49390,362,813.0,19,2393.89
2023-06-10,TikTok Ads,Retargeting,43250,595,858.02,27,2456.57
2023-05-06,Google Ads,New Product Launch,42655,1074,2642.42,59,4490.66
2023-02-27,Facebook Ads,Retargeting,2677,62,183.39,5,648.33
2023-11-02,Google Ads,Spring Sale,15236,598,949.81,31,1813.62
2023-06-26,Google Ads,New Product Launch,38948,578,1606.46,39,5055.57
2023-03-12,LinkedIn Ads,New Product Launch,6273,135,134.08,10,1280.06
2023-10-08,Google Ads,New Product Launch,16652,246,413.68,16,1483.84
2023-09-29,TikTok Ads,New Product Launch,16363,151,240.69,12,1194.1
2023-01-18,TikTok Ads,Retargeting,35199,1327,1655.11,43,6426.87
2023-03-29,TikTok Ads,Retargeting,30859,892,2350.14,80,11598.54
2023-04-12,LinkedIn Ads,Retargeting,28791,737,863.96,58,8358.52
2023-10-16,Facebook Ads,New Product Launch,28627,365,578.88,34,2038.22
2023-02-20,TikTok Ads,Spring Sale,43981,1751,4157.54,91,6694.47
2023-10-15,Google Ads,Spring Sale,11477,265,192.31,11,1628.57
2023-09-04,TikTok Ads,Brand Awareness,25188,531,1220.81,26,2616.85
2023-03-27,TikTok Ads,Retargeting,14127,228,333.41,16,1496.66
2023-07-29,TikTok Ads,Brand Awareness,36597,635,740.9,49,5658.4
2023-09-02,Google Ads,Brand Awareness,23202,758,1060.98,53,7523.55
2023-09-16,TikTok Ads,Spring Sale,1773,13,21.78,0,0.0
2023-04-14,Google Ads,Retargeting,30223,407,329.53,10,1404.27
2023-08-18,TikTok Ads,New Product Launch,5097,39,95.07,2,182.9
2023-01-01,Facebook Ads,New Product Launch,28645,634,594.91,13,1380.66
2023-12-19,TikTok Ads,New Product Launch,7774,64,39.63,2,211.92
2023-04-29,Facebook Ads,Retargeting,44423,883,490.85,87,9387.65
2023-10-10,Google Ads,Retargeting,29103,284,601.0,25,2764.89
2023-01-22,TikTok Ads,New Product Launch,47726,1501,896.25,104,14472.71
2023-02-17,Facebook Ads,New Product Launch,49714,768,413.15,23,3345.72
2023-01-15,Google Ads,Brand Awareness,31728,548,1381.49,42,6194.04
2023-03-21,LinkedIn Ads,Spring Sale,49379,1595,3354.31,64,8189.51
2023-05-25,Facebook Ads,New Product Launch,5739,71,109.26,3,333.03
2023-02-06,TikTok Ads,Retargeting,35087,214,590.12,8,1083.31
2023-06-01,Google Ads,Spring Sale,20787,454,400.79,13,1172.62
2023-05-04,Facebook Ads,Spring Sale,48984,1163,2588.76,82,5701.5
2023-04-23,LinkedIn Ads,Spring Sale,4898,77,108.28,2,237.9
2023-05-25,Google Ads,Brand Awareness,43481,587,848.38,40,4721.76
2023-09-01,LinkedIn Ads,Spring Sale,43118,695,1765.97,60,7209.93
2023-07-25,LinkedIn Ads,Brand Awareness,6565,235,629.1,6,723.78
2023-07-14,LinkedIn Ads,Retargeting,16422,492,674.12,31,4511.95
2023-05-07,TikTok Ads,Retargeting,46608,297,390.89,17,2239.72
2023-02-16,Google Ads,New Product Launch,6000,131,105.69,3,218.43
2023-05-11,Google Ads,Spring Sale,13049,164,105.74,14,1429.98
2023-12-31,Facebook Ads,New Product Launch,10318,410,1002.92,20,2973.75
2023-04-13,Facebook Ads,New Product Launch,39659,1100,1250.97,42,2756.85
2023-11-06,TikTok Ads,Spring Sale,10853,394,216.56,35,3513.89
2023-08-06,TikTok Ads,Brand Awareness,41280,381,708.19,9,486.08
2023-09-03,Google Ads,New Product Launch,49796,1974,4712.7,78,6862.51
2023-07-02,Google Ads,Spring Sale,31820,639,1048.88,28,1570.09
2023-08-27,Google Ads,Retargeting,17877,442,758.9,32,3771.37
2023-02-28,TikTok Ads,Retargeting,42665,412,506.58,16,1912.32
2023-03-06,TikTok Ads,Retargeting,30904,337,947.76,31,2133.42
2023-11-28,TikTok Ads,Retargeting,30745,395,785.64,18,2545.44
2023-08-21,Google Ads,Spring Sale,34772,275,442.92,21,2572.03
2023-11-06,Google Ads,Spring Sale,34287,1051,612.2,75,8081.09
2023-07-11,LinkedIn Ads,Retargeting,19472,292,364.18,14,1513.24
2023-12-19,Google Ads,Spring Sale,10544,298,651.44,18,1876.18
2023-06-18,LinkedIn Ads,Retargeting,45797,635,1641.08,20,2737.38
2023-01-22,Facebook Ads,Spring Sale,3157,17,17.06,0,0.0
2023-11-02,LinkedIn Ads,Brand Awareness,46943,323,863.47,7,780.19
2023-11-22,Facebook Ads,Brand Awareness,37356,1395,741.41,122,17017.24
2023-07-18,LinkedIn Ads,New Product Launch,45043,1534,2789.16,31,2260.91
2023-01-20,LinkedIn Ads,Spring Sale,28352,350,643.61,11,743.89
2023-03-19,Google Ads,Spring Sale,7519,248,403.32,19,1026.35
2023-11-26,Facebook Ads,Retargeting,33464,743,880.21,38,4857.03
2023-06-12,Google Ads,Spring Sale,6547,209,435.45,8,981.63
2023-09-25,Google Ads,Spring Sale,43416,737,1170.56,19,1129.57
2023-11-08,LinkedIn Ads,New Product Launch,9937,234,592.04,16,1951.5
2023-07-08,Google Ads,Brand Awareness,31175,966,2654.0,73,9908.68
2023-02-19,TikTok Ads,Retargeting,5978,104,56.37,3,432.97
2023-10-24,TikTok Ads,Retargeting,48820,525,531.96,23,1845.77
2023-11-04,Google Ads,Retargeting,7246,127,144.61,11,1324.67
2023-07-31,Google Ads,Retargeting,10753,60,38.23,2,127.09
2023-02-25,TikTok Ads,Brand Awareness,35949,363,754.46,9,779.86
2023-10-15,Facebook Ads,Spring Sale,27763,460,783.46,40,3987.95
2023-12-09,Google Ads,Retargeting,35399,377,495.07,9,952.84
2023-03-26,Google Ads,Brand Awareness,28288,836,2240.95,18,1583.08
2023-07-28,Google Ads,New Product Launch,31309,343,795.86,20,1316.95
2023-10-18,TikTok Ads,Brand Awareness,45610,1149,2185.0,32,3450.79
2023-12-15,LinkedIn Ads,Retargeting,16944,109,300.89,10,1091.85
2023-06-18,Google Ads,New Product Launch,4387,123,349.76,3,227.78
2023-04-13,LinkedIn Ads,Spring Sale,43549,1197,704.53,91,4627.54
2023-07-13,Google Ads,Brand Awareness,4805,173,164.93,14,988.51
2023-07-19,TikTok Ads,Retargeting,8376,135,111.3,8,1153.05
2023-03-04,Facebook Ads,Retargeting,13300,228,570.98,16,957.75
2023-04-23,LinkedIn Ads,New Product Launch,6201,225,260.3,4,310.84
2023-09-25,TikTok Ads,Retargeting,5166,83,116.24,6,701.73
2023-02-14,Facebook Ads,Brand Awareness,20222,169,458.97,10,1372.39
2023-10-02,LinkedIn Ads,Retargeting,49281,1845,5248.64,96,7462.38
2023-12-18,LinkedIn Ads,New Product Launch,38151,375,966.61,30,1954.17
2023-05-18,Facebook Ads,Retargeting,14207,79,125.95,2,165.17
2023-01-07,Google Ads,Brand Awareness,48253,1064,906.66,21,1780.37
2023-01-21,Google Ads,Brand Awareness,39228,897,799.17,34,2299.77
2023-10-01,TikTok Ads,Spring Sale,33957,565,421.22,11,996.44
2023-02-12,Facebook Ads,New Product Launch,35454,636,1485.6,31,1876.74
2023-12-24,LinkedIn Ads,Brand Awareness,3610,48,105.48,2,196.07
2023-03-30,TikTok Ads,Spring Sale,35903,882,1759.4,80,7399.58
2023-05-13,Google Ads,Spring Sale,30246,801,478.75,65,7576.59
2023-04-30,TikTok Ads,Spring Sale,29693,884,837.72,46,3421.53
2023-03-24,TikTok Ads,Retargeting,10128,287,281.71,21,1820.97
2023-10-02,Google Ads,Spring Sale,33333,1235,1778.0,46,3062.73
2023-09-25,Google Ads,Brand Awareness,29836,846,1456.86,72,6026.84
2023-06-11,TikTok Ads,Brand Awareness,20875,293,243.4,6,617.96
2023-06-18,LinkedIn Ads,Brand Awareness,8422,223,373.45,15,1332.95
2023-01-13,Facebook Ads,Retargeting,36639,997,1648.54,37,4860.27
2023-07-04,LinkedIn Ads,Spring Sale,27214,309,661.75,18,1909.4
2023-12-09,Google Ads,Brand Awareness,6271,115,189.07,8,1009.84
2023-02-25,TikTok Ads,New Product Launch,46045,1021,885.05,100,5715.64
2023-12-23,Facebook Ads,New Product Launch,46284,843,963.7,24,2281.67
2023-03-23,TikTok Ads,Brand Awareness,23459,603,1309.83,36,3774.9
2023-07-01,Google Ads,New Product Launch,28258,161,430.61,12,1225.42
2023-07-04,Google Ads,Spring Sale,45100,440,792.72,13,1722.21
2023-10-08,Facebook Ads,Brand Awareness,29616,727,698.86,36,2668.71
2023-08-15,Facebook Ads,Brand Awareness,15399,593,542.32,47,5346.17
2023-09-17,Facebook Ads,Spring Sale,47508,1268,3317.99,27,3485.17
2023-02-24,Google Ads,Spring Sale,45169,1174,1399.65,64,4456.44
2023-12-16,TikTok Ads,Brand Awareness,6016,47,74.61,2,279.68
2023-07-11,Facebook Ads,Brand Awareness,24130,451,612.32,42,2874.77
2023-01-24,TikTok Ads,Retargeting,15914,457,979.58,39,3557.24
2023-02-22,Google Ads,Retargeting,43098,1029,1938.8,86,12081.19
2023-01-26,Google Ads,Retargeting,16058,447,382.23,44,2801.33
2023-02-24,LinkedIn Ads,Brand Awareness,3470,123,222.06,7,838.29
2023-12-24,TikTok Ads,Brand Awareness,31096,975,1651.67,47,4650.41
2023-11-13,Google Ads,Retargeting,4080,133,164.18,7,849.86
2023-08-02,LinkedIn Ads,Spring Sale,23772,441,430.43,14,861.56
2023-12-26,Google Ads,Spring Sale,28766,620,1299.0,46,4053.49
2023-12-17,Facebook Ads,Brand Awareness,28447,949,883.04,23,1990.58
2023-08-28,Google Ads,Spring Sale,13531,382,463.21,19,1017.37
2023-02-12,Google Ads,New Product Launch,29109,947,2733.34,53,5950.24
2023-07-28,Google Ads,Brand Awareness,42627,1436,3052.62,114,14771.77
2023-03-28,Google Ads,New Product Launch,43953,995,986.58,32,4197.57
2023-09-27,Google Ads,Spring Sale,33160,568,1164.07,49,3291.33
2023-05-07,TikTok Ads,Spring Sale,39297,369,498.39,8,945.55
2023-03-21,Facebook Ads,Spring Sale,41452,804,1998.2,49,7309.11
2023-11-24,Google Ads,Spring Sale,49869,1363,2488.89,85,4411.0
2023-09-28,Google Ads,Brand Awareness,24263,923,1114.5,33,3851.13
2023-01-19,Facebook Ads,Brand Awareness,15170,501,980.78,14,1767.86
2023-05-28,Facebook Ads,Brand Awareness,2069,68,111.21,2,195.68
2023-05-10,Google Ads,New Product Launch,21199,813,1419.38,49,7195.13
2023-02-26,Google Ads,Retargeting,3222,113,163.41,2,252.08
2023-02-01,LinkedIn Ads,Retargeting,12595,207,527.01,13,1460.16
2023-07-13,TikTok Ads,New Product Launch,29597,712,368.65,21,2061.7
2023-03-19,Google Ads,Spring Sale,36061,202,356.12,12,970.87
2023-10-01,LinkedIn Ads,Spring Sale,6235,74,186.13,5,658.61
2023-06-03,TikTok Ads,Retargeting,11867,188,349.36,18,1428.06
2023-12-21,Facebook Ads,Spring Sale,49274,914,1738.73,23,3394.03
2023-09-02,TikTok Ads,Spring Sale,41319,1347,3825.58,50,5858.23
2023-02-15,TikTok Ads,Spring Sale,18560,143,327.64,14,1964.04
2023-11-06,Facebook Ads,New Product Launch,13771,161,287.08,8,412.8
2023-01-15,Google Ads,Brand Awareness,18172,185,361.41,12,854.85
2023-02-13,Facebook Ads,Brand Awareness,20753,662,735.83,22,1455.68
2023-02-11,TikTok Ads,New Product Launch,34359,800,972.68,18,2329.08
2023-12-15,TikTok Ads,Spring Sale,17889,461,1164.4,31,4614.24
2023-05-30,Google Ads,New Product Launch,14688,484,330.62,13,1519.39
2023-03-13,Facebook Ads,Brand Awareness,38298,726,909.12,49,6827.79
2023-04-18,Google Ads,New Product Launch,1651,47,34.53,4,341.57
2023-08-06,Facebook Ads,Spring Sale,14903,204,149.23,10,527.13
2023-07-04,Google Ads,Spring Sale,32455,982,1597.81,34,4309.48
2023-03-16,Facebook Ads,Retargeting,17702,497,1105.65,15,2028.2
2023-06-25,LinkedIn Ads,Spring Sale,20303,270,271.83,24,3321.15
2023-12-02,Facebook Ads,Spring Sale,38042,1073,1624.75,104,9548.96
2023-07-21,Google Ads,New Product Launch,28657,322,268.08,13,1478.43
2023-07-29,Facebook Ads,New Product Launch,13044,326,652.85,25,1673.01
2023-05-13,LinkedIn Ads,New Product Launch,19923,319,548.89,20,2374.49
2023-05-30,Google Ads,Brand Awareness,37021,848,1183.87,21,1521.01
2023-05-12,TikTok Ads,Spring Sale,31449,943,816.78,77,9986.46
